date,open,high,low,close,volume,change_pct,dataset
2013-10-28,9208.3,9451.83,9197.63,9418.49,,2.13,MASI
2013-10-29,9407.8,9497.98,9354.34,9401.72,,-0.18,MASI
2013-10-30,9416.9,9430.24,9346.32,9393.62,,-0.09,MASI
2013-10-31,9359.02,9405.86,9346.92,9385.49,,-0.09,MASI
2013-11-01,9366.12,9374.81,9322.1,9322.1,,-0.68,MASI
2013-11-04,9308.5,9340.75,9288.85,9310.91,,-0.12,MASI
2013-11-07,9301.47,9305.1,9242.37,9304.98,,-0.06,MASI
2013-11-08,9298.06,9356.07,9266.31,9295.56,,-0.1,MASI
2013-11-11,9295.57,9318.96,9259.66,9259.66,,-0.39,MASI
2013-11-12,9278.34,9281.26,9197.4,9214.88,,-0.48,MASI
2013-11-13,9196.22,9270.47,9187.72,9266.37,,0.56,MASI
2013-11-14,9256.22,9302.93,9256.22,9280.62,,0.15,MASI
2013-11-15,9270.25,9292.87,9249.18,9249.18,,-0.34,MASI
2013-11-19,9222.94,9253.27,9209.86,9249.8,,0.01,MASI
2013-11-20,9217.37,9244.31,9199.52,9244.31,,-0.06,MASI
2013-11-21,9213.25,9232.38,9198.29,9199.4,,-0.49,MASI
2013-11-22,9191.96,9195.54,9136.1,9159.77,,-0.43,MASI
2013-11-25,9119.52,9275.38,9114.01,9275.38,,1.26,MASI
2013-11-26,9285.15,9295.57,9229.67,9250.36,,-0.27,MASI
2013-11-27,9269.14,9332.72,9246.36,9292.18,,0.45,MASI
2013-11-28,9316.89,9318.06,9247.35,9291.74,,0.0,MASI
2013-11-29,9309.44,9326.08,9262.49,9262.49,,-0.31,MASI
2013-12-02,9259.18,9297.4,9254.71,9297.4,,0.38,MASI
2013-12-03,9308.96,9332.21,9276.7,9321.07,,0.25,MASI
2013-12-04,9283.85,9348.76,9268.85,9330.21,,0.1,MASI
2013-12-05,9308.43,9353.22,9308.12,9327.31,,-0.03,MASI
2013-12-06,9310.02,9340.03,9240.39,9240.41,,-0.93,MASI
2013-12-09,9235.06,9277.0,9199.47,9221.4,,-0.21,MASI
2013-12-10,9203.46,9263.15,9196.77,9241.4,,0.22,MASI
2013-12-11,9239.97,9252.3,9194.57,9252.3,,0.12,MASI
2013-12-12,9241.91,9320.66,9241.91,9320.66,,0.74,MASI
2013-12-13,9301.7,9341.26,9295.89,9315.57,,-0.05,MASI
2013-12-16,9306.56,9354.52,9293.17,9354.52,,0.42,MASI
2013-12-17,9360.36,9362.34,9319.79,9349.76,,-0.05,MASI
2013-12-18,9330.64,9350.23,9297.43,9340.2,,-0.1,MASI
2013-12-19,9317.66,9367.56,9314.76,9367.56,,0.29,MASI
2013-12-20,9335.8,9340.24,9269.68,9279.48,,-0.94,MASI
2013-12-23,9270.72,9299.13,9260.04,9293.26,,0.15,MASI
2013-12-24,9283.55,9292.55,9251.89,9292.53,,-0.01,MASI
2013-12-25,9269.99,9277.27,9243.24,9259.52,,-0.36,MASI
2013-12-26,9262.49,9298.94,9210.57,9210.57,,-0.53,MASI
2013-12-27,9215.24,9240.88,9203.91,9209.8,,-0.01,MASI
2013-12-30,9230.54,9230.73,9166.44,9194.87,,-0.16,MASI
2013-12-31,9162.87,9208.59,9114.14,9114.14,,-0.88,MASI
2014-01-02,9093.22,9144.94,9069.63,9144.94,,0.34,MASI
2014-01-03,9168.57,9184.35,9119.92,9154.17,,0.1,MASI
2014-01-06,9162.89,9230.32,9136.72,9230.32,,0.83,MASI
2014-01-07,9211.57,9271.02,9183.99,9271.02,,0.44,MASI
2014-01-08,9196.93,9215.74,9177.28,9215.74,,-0.6,MASI
2014-01-09,9197.68,9250.31,9195.8,9239.9,,0.26,MASI
2014-01-10,9242.01,9242.01,9079.1,9079.1,,-1.74,MASI
2014-01-13,9088.63,9136.11,9076.28,9117.9,,0.43,MASI
2014-01-16,9099.57,9182.83,9099.12,9182.1,,0.7,MASI
2014-01-17,9176.07,9190.08,9156.8,9190.08,,0.09,MASI
2014-01-20,9182.55,9190.69,9156.63,9180.16,,-0.11,MASI
2014-01-21,9179.64,9194.84,9159.37,9194.84,,0.16,MASI
2014-01-22,9178.62,9179.05,9104.43,9105.02,,-0.98,MASI
2014-01-23,9105.17,9156.07,9088.38,9141.18,,0.4,MASI
2014-01-24,9132.46,9157.6,9119.3,9120.19,,-0.23,MASI
2014-01-27,9131.38,9157.18,9107.38,9157.18,,0.41,MASI
2014-01-28,9157.03,9165.61,9125.38,9132.96,,-0.26,MASI
2014-01-29,9119.08,9149.42,9107.83,9135.67,,0.03,MASI
2014-01-30,9125.66,9140.11,9098.71,9140.11,,0.05,MASI
2014-01-31,9113.65,9124.6,9098.8,9121.28,,-0.21,MASI
2014-02-03,9126.6,9169.23,9113.65,9169.23,,0.53,MASI
2014-02-04,9169.22,9169.22,9102.89,9146.52,,-0.25,MASI
2014-02-05,9115.09,9121.27,9095.35,9104.97,,-0.45,MASI
2014-02-06,9108.6,9108.6,9081.57,9085.9,,-0.21,MASI
2014-02-07,9089.2,9148.89,9088.78,9148.89,,0.69,MASI
2014-02-10,9123.46,9155.71,9116.13,9154.93,,0.07,MASI
2014-02-11,9139.42,9150.15,9129.75,9145.7,,-0.1,MASI
2014-02-12,9134.89,9169.24,9105.35,9169.24,,0.26,MASI
2014-02-13,9116.12,9138.2,9102.71,9138.2,,-0.34,MASI
2014-02-14,9129.79,9205.78,9112.64,9205.78,,0.74,MASI
2014-02-17,9205.52,9205.52,9156.07,9178.38,,-0.3,MASI
2014-02-18,9171.6,9228.9,9167.93,9228.9,,0.55,MASI
2014-02-19,9228.79,9241.16,9214.54,9241.16,,0.13,MASI
2014-02-20,9238.08,9243.31,9204.44,9243.31,,0.02,MASI
2014-02-21,9231.08,9258.73,9220.0,9258.73,,0.17,MASI
